variant,model,method,memory_n,calibration_n,test_n,n_reflection_candidates,n_memories,trbm_correction_scale,n,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,brier,log_loss
v4,llama4-scout-17b,trbm_full,12853,6426,12853,600,459,0.0,12853,0.4800000000000001,0.7389714463549366,0.7371227831906748,0.7351221190230478,0.7019214977828871,0.7723240685984625,0.7181382844661011,0.8204747676855988,0.7880886861900487,0.19211637433538442,0.5690115482845852
v4,llama4-scout-17b,trbm_full_survey_weighted,12853,6426,12853,600,459,0.0,12853,0.4800000000000001,0.731536713590658,0.7235664841063089,0.6971078026874369,0.6660710775070751,0.781061890705544,0.6812361195155199,0.811335292806949,0.7555686949157348,0.19097254124936755,0.5658099844714213
v4,llama3-groq-70b-tool-use,trbm_full,12853,6426,12853,600,105,0.0,12853,0.4800000000000001,0.7389714463549366,0.7371227831906748,0.7351221190230478,0.7019214977828871,0.7723240685984625,0.7181382844661011,0.8204747676855988,0.7880886861900487,0.19211637433538442,0.5690115482845852
v4,llama3-groq-70b-tool-use,trbm_full_survey_weighted,12853,6426,12853,600,105,0.0,12853,0.4800000000000001,0.731536713590658,0.7235664841063089,0.6971078026874369,0.6660710775070751,0.781061890705544,0.6812361195155199,0.811335292806949,0.7555686949157348,0.19097254124936755,0.5658099844714213
v5,llama4-scout-17b,trbm_full,12853,6426,12853,600,426,0.0,12853,0.44000000000000006,0.653077102621956,0.6574235936894667,0.610373781148429,0.7401872228608967,0.5746599645180367,0.6690417872782602,0.7199811678707492,0.6702263481803099,0.22478821511452796,0.6405831603405381
v5,llama4-scout-17b,trbm_full_survey_weighted,12853,6426,12853,600,426,0.0,12853,0.44000000000000006,0.6560740370468268,0.6600561934888283,0.5837320829396625,0.6878983754029131,0.6322140115747419,0.6315488102543951,0.7243535736095881,0.6394608634561001,0.21963036917149997,0.6296300417184649
v5,llama3-groq-70b-tool-use,trbm_full,12853,6426,12853,600,73,0.0,12853,0.44000000000000006,0.653077102621956,0.6574235936894667,0.610373781148429,0.7401872228608967,0.5746599645180367,0.6690417872782602,0.7199811678707492,0.6702263481803099,0.22478821511452796,0.6405831603405381
v5,llama3-groq-70b-tool-use,trbm_full_survey_weighted,12853,6426,12853,600,73,0.0,12853,0.44000000000000006,0.6560740370468268,0.6600561934888283,0.5837320829396625,0.6878983754029131,0.6322140115747419,0.6315488102543951,0.7243535736095881,0.6394608634561001,0.21963036917149997,0.6296300417184649
