result_group,version,feature_setting,model,method,test_n,selected_threshold,accuracy,balanced_accuracy,roc_auc,f1,status,note,source
flare_vax,V5,without_other_vaccination_history,Llama 4 Scout 17B,FLARE-VAX full run,11057.0,47.0,0.6101112417,0.6179123533,0.6333967095,0.6264621783,complete_final_summary_11057_evaluated,,
flare_vax,V5,without_other_vaccination_history,Llama 3 70B,FLARE-VAX full run,12852.0,47.0,0.6255057579,0.6324873278,0.6763162515,0.6596903062,complete,,
flare_vax,V5,without_other_vaccination_history,No LLM,HBM8 pattern-only ablation,12852.0,37.0,0.6255057579,0.6324873278,0.6796909247,0.6596903062,complete,,
reward_memory,V4,,llama4-scout-17b,pattern_anchor,12853.0,35.0,0.7278456391503929,0.7285185716658266,0.7691376077689818,0.7206962631747046,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V4,,llama4-scout-17b,reward_prior,12853.0,53.0,0.7416945460203843,0.7403430518446864,0.821574361932844,0.7238396273498586,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V4,,llama4-scout-17b,final_reward_memory,12853.0,50.0,0.7390492492025208,0.7394903451035466,0.8220772110062518,0.7308186195826644,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V4,,llama4-scout-17b,final_reward_memory_survey_weighted,12853.0,50.0,0.7292872096846307,0.7264788318457185,0.8098289417382626,0.6914562604247979,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V4,,llama4-scout-17b,final_without_memory,12853.0,50.0,0.7364039523846573,0.7377335540916035,0.8203450282770657,0.7327654204133144,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V4,,llama3-groq-70b-tool-use,pattern_anchor,12853.0,35.0,0.7278456391503929,0.7285185716658266,0.7691376077689818,0.7206962631747046,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V4,,llama3-groq-70b-tool-use,reward_prior,12853.0,47.0,0.7371041780129153,0.7389987257595667,0.8217906040307565,0.7363246195864221,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V4,,llama3-groq-70b-tool-use,final_reward_memory,12853.0,52.0,0.7384268264218471,0.7398195886301235,0.8210099860824196,0.7351087299086039,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V4,,llama3-groq-70b-tool-use,final_reward_memory_survey_weighted,12853.0,52.0,0.7272487642642219,0.7271502747960307,0.8091465771262336,0.6957437687782844,complete,,results/reward_memory/benchmark_results_public.csv
reward_memory,V4,,llama3-groq-70b-tool-use,final_without_memory,12853.0,52.0,0.7371041780129153,0.7389987257595667,0.8218328278134053,0.7363246195864221,complete,,results/reward_memory/benchmark_results_public.csv
